arm,episode,infeas_rate,min_margin,objective,seed,track_rmse,viol_any,viol_freq,viol_integral,viol_max,viol_mean
true_dyn,0,0.0,1.4133361148083168e-11,6.333836511406656,0,0.27062107078022024,0.0,0.0,0.0,0.0,0.0
true_dyn,1,0.0,5.267342118031593e-12,2.9165343907351065,0,0.16220436287924023,0.0,0.0,0.0,0.0,0.0
true_dyn,2,0.0,2.869744442079991e-10,8.483641353183565,0,0.31751208392199465,0.0,0.0,0.0,0.0,0.0
true_dyn,3,0.0,-1.3551493260877123e-11,5.744326536135023,0,0.2554352061127443,0.0,0.0,1.3551493260877123e-11,1.3551493260877123e-11,1.3551493260877123e-11
true_dyn,4,0.0,1.4669288006530223e-10,6.96827361730681,0,0.2859685197844206,0.0,0.0,0.0,0.0,0.0
true_dyn,5,0.0,2.626433071029055e-09,10.3709607144558,0,0.3574068935164082,0.0,0.0,0.0,0.0,0.0
true_dyn,6,0.0,3.33368932459166e-09,2.655269489915323,0,0.15140586335765635,0.0,0.0,0.0,0.0,0.0
true_dyn,7,0.0,7.115463773743613e-11,9.987184480211447,0,0.34711215414056046,0.0,0.0,0.0,0.0,0.0
learned_dyn,0,0.16666666666666666,-0.12859375668774664,11.156586007135376,0,0.3571441821574777,1.0,0.09836065573770492,0.3638888117588862,0.12859375668774664,0.0606481352931477
learned_dyn,1,0.16666666666666666,-0.05532401357229044,6.96619256258213,0,0.2724162398097304,1.0,0.09836065573770492,0.14638460765170624,0.05532401357229044,0.024397434608617707
learned_dyn,2,0.3333333333333333,-0.16537947299991296,14.037339474746299,0,0.4006142723055344,1.0,0.09836065573770492,0.4630723702810856,0.16537947299991296,0.07717872838018093
learned_dyn,3,0.25,-0.11619793042159188,10.46386312888205,0,0.3431743503667601,1.0,0.08196721311475409,0.3090817835567391,0.11619793042159188,0.06181635671134782
learned_dyn,4,0.16666666666666666,-0.10408679039416546,14.850771709796168,0,0.4179506776527727,1.0,0.08196721311475409,0.26142651285785923,0.10408679039416546,0.052285302571571844
learned_dyn,5,0.5,-0.09425042829247277,18.2396951221019,0,0.4647597250043864,1.0,0.08196721311475409,0.26127742559956035,0.09425042829247277,0.05225548511991207
learned_dyn,6,0.25,-0.06805484453618849,7.506393951641053,0,0.27458052287834495,1.0,0.08196721311475409,0.14091210248051678,0.06805484453618849,0.028182420496103356
learned_dyn,7,0.3333333333333333,-0.16740135938941014,21.982293044870662,0,0.520804745199886,1.0,0.08196721311475409,0.4867972184772531,0.16740135938941014,0.09735944369545062
true_dyn,0,0.0,4.409709530861505e-08,1.1069884723994439,1,0.030181616867630604,0.0,0.0,0.0,0.0,0.0
true_dyn,1,0.0,2.588083081178638e-10,7.835708999355844,1,0.305706848245431,0.0,0.0,0.0,0.0,0.0
true_dyn,2,0.08333333333333333,3.6548541970660153e-13,10.883577922751096,1,0.36265166142472943,0.0,0.0,0.0,0.0,0.0
true_dyn,3,0.0,5.002478431492818e-10,8.979322046720307,1,0.3274413940597955,0.0,0.0,0.0,0.0,0.0
true_dyn,4,0.0,-3.433635598071305e-10,7.679107084735739,1,0.30218392278463524,0.0,0.0,3.433635598071305e-10,3.433635598071305e-10,3.433635598071305e-10
true_dyn,5,0.0,2.693623102345555e-12,7.717823170926245,1,0.3028746622928889,0.0,0.0,0.0,0.0,0.0
true_dyn,6,0.08333333333333333,9.08162434143378e-14,1.8673653454369235,1,0.10851288994216485,0.0,0.0,0.0,0.0,0.0
true_dyn,7,0.0,2.3356871992064043e-12,4.655496420107082,1,0.22363396316403533,0.0,0.0,0.0,0.0,0.0
learned_dyn,0,0.08333333333333333,-0.014486960304621599,4.159232319569517,1,0.20987897831695498,1.0,0.03278688524590164,0.014931494406163037,0.014486960304621599,0.007465747203081519
learned_dyn,1,0.25,-0.10060854210541981,14.693844049170302,1,0.4130392906173006,1.0,0.08196721311475409,0.26556951683409846,0.10060854210541981,0.05311390336681969
learned_dyn,2,0.3333333333333333,-0.16620691262986986,16.065404491303983,1,0.43156002763755785,1.0,0.09836065573770492,0.48552159106922665,0.16620691262986986,0.08092026517820444
learned_dyn,3,0.4166666666666667,-0.21715435433076813,14.112219545241354,1,0.38996666297614,1.0,0.13114754098360656,0.7216865055299889,0.21715435433076813,0.09021081319124861
learned_dyn,4,0.3333333333333333,-0.148159597572724,16.80591530803457,1,0.44577570569980757,1.0,0.11475409836065574,0.43211685425911417,0.148159597572724,0.061730979179873455
learned_dyn,5,0.5,-0.11854640452825072,12.661339652837365,1,0.37572928620783114,1.0,0.11475409836065574,0.35121907336385283,0.11854640452825072,0.05017415333769326
learned_dyn,6,0.16666666666666666,-0.02129920436567312,5.700768476922982,1,0.24099556238470282,1.0,0.01639344262295082,0.02129920436567312,0.02129920436567312,0.02129920436567312
learned_dyn,7,0.3333333333333333,-0.06721201989913128,9.774396125658399,1,0.3307370267268986,1.0,0.09836065573770492,0.15595308031235722,0.06721201989913128,0.025992180052059537
