n_traj,hidden,w_normal,epochs,normal_rel,tangent_rel,passed
8,16x16,10.0,60,-0.0027166503527942935,0.005672864039480646,False
8,16x16,50.0,60,-0.026682384774013038,0.003964388785035685,False
8,64x64,10.0,60,-0.01672457693310038,0.0812402724205959,False
8,64x64,50.0,60,-0.08775546097067409,0.11824814775209455,True
