direction,episode,eps,infeas_rate,min_margin,objective,seed,track_rmse,viol_any,viol_freq,viol_integral,viol_max,viol_mean
normal,0,-0.1,0.3333333333333333,-0.4874642217651226,26.916477485640094,0,0.5415066783247521,1.0,0.3770491803278688,5.610229744238832,0.4874642217651226,0.24392303235821008
normal,1,-0.1,0.25,-0.41144586256918714,26.622516240633928,0,0.5283338830333261,1.0,0.36065573770491804,5.054025355805226,0.41144586256918714,0.22972842526387394
normal,2,-0.1,0.25,-0.4956428271436135,28.754146062427328,0,0.5553527442194067,1.0,0.36065573770491804,5.552910208745047,0.4956428271436135,0.2524050094884112
normal,3,-0.1,0.25,-0.4617328726855946,28.23899294265897,0,0.5493606292480457,1.0,0.36065573770491804,4.825774768060282,0.4617328726855946,0.2193533985481946
normal,0,-0.05,0.25,-0.19389439920469498,12.97499536211929,0,0.34040444011703413,1.0,0.2786885245901639,1.807707331223701,0.19389439920469498,0.10633572536610006
normal,1,-0.05,0.25,-0.2191081709770759,9.610890914726529,0,0.28702227644956196,1.0,0.2786885245901639,1.6631759250519134,0.2191081709770759,0.09783387794423018
normal,2,-0.05,0.25,-0.1978757228042709,14.647379495810526,0,0.3687358042695187,1.0,0.29508196721311475,1.7628979252581765,0.1978757228042709,0.09793877362545425
normal,3,-0.05,0.25,-0.21359799806914814,11.573723585039243,0,0.3247029362981661,1.0,0.2786885245901639,2.0445662696036564,0.21359799806914814,0.12026860409433272
normal,0,0.0,0.0,1.4133361148083168e-11,6.333836511406656,0,0.27062107078022024,0.0,0.0,0.0,0.0,0.0
normal,1,0.0,0.0,5.267342118031593e-12,2.9165343907351065,0,0.16220436287924023,0.0,0.0,0.0,0.0,0.0
normal,2,0.0,0.0,2.869744442079991e-10,8.483641353183565,0,0.31751208392199465,0.0,0.0,0.0,0.0,0.0
normal,3,0.0,0.0,-1.3551493260877123e-11,5.744326536135023,0,0.2554352061127443,0.0,0.0,1.3551493260877123e-11,1.3551493260877123e-11,1.3551493260877123e-11
normal,0,0.05,0.0,0.1595802478958861,15.572843483393232,0,0.45336113472113887,0.0,0.0,0.0,0.0,0.0
normal,1,0.05,0.0,0.18062625821136158,10.761923775604751,0,0.3734188061090687,0.0,0.0,0.0,0.0,0.0
normal,2,0.05,0.08333333333333333,0.14565076454307135,18.175565742578026,0,0.4898499131278699,0.0,0.0,0.0,0.0,0.0
normal,3,0.05,0.0,0.15325335811048313,14.648563555959912,0,0.43811420150881547,0.0,0.0,0.0,0.0,0.0
normal,0,0.1,0.0,0.3586413540210234,36.32712063092036,0,0.7162438412206101,0.0,0.0,0.0,0.0,0.0
normal,1,0.1,0.0,0.3999668845697286,29.966958009905294,0,0.6517124930241809,0.0,0.0,0.0,0.0,0.0
normal,2,0.1,0.0,0.33468645127323327,39.30039323346011,0,0.7431314345964806,0.0,0.0,0.0,0.0,0.0
normal,3,0.1,0.0,0.36859868514666316,34.89252510326683,0,0.7016007710937056,0.0,0.0,0.0,0.0,0.0
tangent,0,-0.1,0.25,-0.21857984243276407,41.4048311673044,0,0.7242634143830118,1.0,0.22950819672131148,1.6261582200343971,0.21857984243276407,0.11615415857388553
tangent,1,-0.1,0.25,-0.20082529497963475,32.336998268897105,0,0.6438973790844176,1.0,0.2459016393442623,1.4039724739135755,0.20082529497963475,0.09359816492757173
tangent,2,-0.1,0.25,-0.25002951581907507,42.167092369138814,0,0.7317510700507799,1.0,0.21311475409836064,1.640430350032845,0.25002951581907507,0.12618695000252655
tangent,3,-0.1,0.25,-0.22149351546958862,36.48938866857393,0,0.6778330136141795,1.0,0.22950819672131148,1.6555069573074117,0.22149351546958862,0.11825049695052939
tangent,0,-0.05,0.16666666666666666,-0.12492695963635203,13.001770935431406,0,0.3811421073149114,1.0,0.19672131147540983,0.6839088407345605,0.12492695963635203,0.056992403394546705
tangent,1,-0.05,0.16666666666666666,-0.10625354852288171,9.70403349069447,0,0.32086254883869575,1.0,0.14754098360655737,0.47735668404301224,0.10625354852288171,0.05303963156033469
tangent,2,-0.05,0.16666666666666666,-0.13179325509486295,14.674533297884551,0,0.4099635252991655,1.0,0.21311475409836064,0.747625104629006,0.13179325509486295,0.057509623433000465
tangent,3,-0.05,0.16666666666666666,-0.12113177047798274,12.188320495823131,0,0.3686304110129866,1.0,0.19672131147540983,0.6205347592197268,0.12113177047798274,0.05171122993497723
tangent,0,0.0,0.0,1.4133361148083168e-11,6.333836511406656,0,0.27062107078022024,0.0,0.0,0.0,0.0,0.0
tangent,1,0.0,0.0,5.267342118031593e-12,2.9165343907351065,0,0.16220436287924023,0.0,0.0,0.0,0.0,0.0
tangent,2,0.0,0.0,2.869744442079991e-10,8.483641353183565,0,0.31751208392199465,0.0,0.0,0.0,0.0,0.0
tangent,3,0.0,0.0,-1.3551493260877123e-11,5.744326536135023,0,0.2554352061127443,0.0,0.0,1.3551493260877123e-11,1.3551493260877123e-11,1.3551493260877123e-11
tangent,0,0.05,0.0,0.060042432749758845,13.7634610907964,0,0.42579027092321203,0.0,0.0,0.0,0.0,0.0
tangent,1,0.05,0.0,0.0678114661854361,9.716618306812626,0,0.35735117048384646,0.0,0.0,0.0,0.0,0.0
tangent,2,0.05,0.0,0.0616607516124732,16.182146809102317,0,0.4556862904247574,0.0,0.0,0.0,0.0,0.0
tangent,3,0.05,0.0,0.06890058067646887,13.093996867445972,0,0.41242300104486784,0.0,0.0,0.0,0.0,0.0
tangent,0,0.1,0.0,0.13830301616708884,32.50181705496222,0,0.6789793339393833,0.0,0.0,0.0,0.0,0.0
tangent,1,0.1,0.0,0.17088053268381076,28.51910409675996,0,0.6408941046704375,0.0,0.0,0.0,0.0,0.0
tangent,2,0.1,0.0,0.1298818616808477,34.95182833386001,0,0.696317702723165,0.0,0.0,0.0,0.0,0.0
tangent,3,0.1,0.0,0.15219408546164792,31.91792026903995,0,0.6708844000567438,0.0,0.0,0.0,0.0,0.0
random,0,-0.1,0.16666666666666666,1.9707277799353697,576.5866909407715,0,3.0999635558775482,0.0,0.0,0.0,0.0,0.0
random,1,-0.1,0.4166666666666667,1.9922444071439207,544.0914371909092,0,3.0113416389855447,0.0,0.0,0.0,0.0,0.0
random,2,-0.1,0.0,2.1593205524335413,611.7894795224647,0,3.1931945329676386,0.0,0.0,0.0,0.0,0.0
random,3,-0.1,0.16666666666666666,2.25835908125113,589.8750753017871,0,3.1354810572400145,0.0,0.0,0.0,0.0,0.0
random,0,-0.05,0.0,1.9955640852043288,581.2221445875887,0,3.1124003185847537,0.0,0.0,0.0,0.0,0.0
random,1,-0.05,0.0,2.1138212610002074,559.5061038887499,0,3.0537029540345215,0.0,0.0,0.0,0.0,0.0
random,2,-0.05,0.0,2.1593205524335413,611.7894795224647,0,3.1931945329676386,0.0,0.0,0.0,0.0,0.0
random,3,-0.05,0.0,2.0822319595534156,573.4663812554558,0,3.091564817519481,0.0,0.0,0.0,0.0,0.0
random,0,0.0,0.0,1.4133361148083168e-11,6.333836511406656,0,0.27062107078022024,0.0,0.0,0.0,0.0,0.0
random,1,0.0,0.0,5.267342118031593e-12,2.9165343907351065,0,0.16220436287924023,0.0,0.0,0.0,0.0,0.0
random,2,0.0,0.0,2.869744442079991e-10,8.483641353183565,0,0.31751208392199465,0.0,0.0,0.0,0.0,0.0
random,3,0.0,0.0,-1.3551493260877123e-11,5.744326536135023,0,0.2554352061127443,0.0,0.0,1.3551493260877123e-11,1.3551493260877123e-11,1.3551493260877123e-11
random,0,0.05,0.0,1.9955640852043288,581.2221445875887,0,3.1124003185847537,0.0,0.0,0.0,0.0,0.0
random,1,0.05,0.0,2.1138212610002074,559.5061038887499,0,3.0537029540345215,0.0,0.0,0.0,0.0,0.0
random,2,0.05,0.08333333333333333,2.100663762619709,601.2846933588656,0,3.165660341963807,0.0,0.0,0.0,0.0,0.0
random,3,0.05,0.08333333333333333,2.116352939190495,582.6738011227743,0,3.1162836271678693,0.0,0.0,0.0,0.0,0.0
random,0,0.1,0.0,1.9955640852043288,581.2221445875887,0,3.1124003185847537,0.0,0.0,0.0,0.0,0.0
