scenario_id,init_pos,init_vel,ref_pos,ref_vel,oracle_status,oracle_u0,oracle_objective,oracle_min_state_margin,oracle_min_state_margin_step,oracle_min_state_margin_kind,oracle_min_input_margin,oracle_min_input_margin_step,oracle_min_input_margin_kind,oracle_n_active_state,oracle_n_active_input,oracle_x_traj,oracle_u_traj,oracle_state_active,oracle_input_active,oracle_pos_upper_dual_norm_max,oracle_pos_lower_dual_norm_max,oracle_vel_upper_dual_norm_max,oracle_vel_lower_dual_norm_max,oracle_u0_saturated,oracle_max_state_dual_norm,group_fixed,group_quantile
35,0.6940486053087858,-0.060766197427453594,-1.0476888155122683,0.0,optimal,-0.49999961407961135,409.1996639667433,0.13175151796128204,17,vel_lower,1.776215113880042e-08,14,u_lower,0,15,"[[0.6940486074607038, -0.060766193539402845], [0.6854719921878432, -0.11076615127454753], [0.6718953810206809, -0.1607661116152564], [0.6533187736884299, -0.2107660747321198], [0.6297421699182514, -0.26076604047894425], [0.6011655694485087, -0.31076600876202404], [0.5675889720223727, -0.3607659795639566], [0.5290123773847, -0.41076595285660644], [0.4854357852856113, -0.4607659285516151], [0.43685919549398244, -0.5107659063531358], [0.3832826077964805, -0.5607658861933166], [0.3247060219834085, -0.6107658680603922], [0.261129437856118, -0.6607658517393113], [0.19255285524653618, -0.7107658368283407], [0.11897627401785081, -0.7607658230987173], [0.040399693547031115, -0.8107658204955147], [-0.043094990140331316, -0.8591278860940569], [-0.1294638070572155, -0.868248482038718], [-0.21553559916717005, -0.8531873828884808]]","[-0.49999961407961135, -0.499999637968696, -0.49999966355496395, -0.499999687681011, -0.49999971087982964, -0.4999997339214386, -0.4999997567060781, -0.49999977863955014, -0.49999979765438446, -0.49999981603307925, -0.4999998343388959, -0.49999985054228024, -0.49999986277672126, -0.4999998727656425, -0.49999998223784886, -0.4836206625143687, -0.09120596375308773, 0.15061098932086514]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false]]",0.0,0.0,3.962123889184052e-16,4.440892098500626e-16,True,4.440892098500626e-16,mid,near
36,-1.2915489211088023,0.48312287585260993,-0.20342906676538908,0.0,optimal,0.4999998907444829,81.70871590719975,0.18712279148486866,7,vel_upper,-1.501552371330206e-08,10,u_lower,0,10,"[[-1.2915489220235297, 0.4831228749563562], [-1.2407366359872385, 0.5331228632260813], [-1.1849243509825989, 0.5831228543155509], [-1.1241120667579934, 0.6331228474911021], [-1.058299783135486, 0.6831228419740032], [-0.9874875000000137, 0.7331228372543768], [-0.9116752172893322, 0.7831228327539306], [-0.8318752159662519, 0.8128772085151313], [-0.7508698191628513, 0.8072307411106341], [-0.671735780712667, 0.7754500400124997], [-0.5965917599521556, 0.7274303858113197], [-0.526348721907621, 0.6774303842452074], [-0.4611056839161514, 0.6274303834126977], [-0.4008626459297753, 0.5774303829064065], [-0.34561960791845403, 0.5274303827717784], [-0.2951536223780643, 0.48188933244575105], [-0.24879392390278995, 0.4453046405242074], [-0.20560256739485244, 0.4185224922365894], [-0.16463606362271435, 0.4008075850035168]]","[0.4999998907444829, 0.4999999179831535, 0.49999993788241676, 0.49999995002010644, 0.4999999571000494, 0.4999999584461806, 0.29754376026762197, -0.05646467207583896, -0.3178070095764357, -0.4801965410428468, -0.5000000150155237, -0.5000000079408347, -0.5000000048814008, -0.5000000013126429, -0.4554105033215015, -0.3658469193257702, -0.26782148299925845, -0.1771490724346309]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,5.551115123125783e-17,6.237154218642541e-17,True,6.237154218642541e-17,mid,near
37,-0.952437232655263,-0.23285205101921697,0.36441001713272136,0.0,optimal,0.5000004773490261,313.3093973796924,0.4037524428325501,17,vel_upper,-4.773490260845392e-07,0,u_upper,0,16,"[[-0.9524372292664532, -0.2328520461698241], [-0.9732224281102495, -0.1828519939245185], [-0.9890076219102228, -0.13285194550414203], [-0.9997928110562276, -0.08285190090516703], [-1.005577995940993, -0.032851860124784554], [-1.0063631769591128, 0.017148176855479966], [-1.0021483545050973, 0.06714821007228669], [-0.9929335289712093, 0.11714823958271244], [-0.9787187007450063, 0.1671482654670418], [-0.9595038702066342, 0.21714828783165704], [-0.9352890377258839, 0.26714830681108803], [-0.9060742036590678, 0.3171483225686372], [-0.8718593683459155, 0.3671483352970284], [-0.8326445321062923, 0.4171483452202228], [-0.7884296952366985, 0.4671483525967768], [-0.7392148580067257, 0.517148357717809], [-0.6850000206231048, 0.5671483615570174], [-0.6268302235914839, 0.5962475571674499], [-0.5673065976027496, 0.5942249476794103]]","[0.5000004773490261, 0.5000004425018121, 0.5000004076946647, 0.5000003729082063, 0.5000003382840682, 0.5000003039865168, 0.5000002701998147, 0.5000002371340998, 0.5000002050265869, 0.500000174133494, 0.5000001447160198, 0.5000001170408878, 0.5000000913921632, 0.5000000680869567, 0.5000000474217642, 0.500000036193185, 0.2909919551658181, -0.02022609498134538]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false]]",0.0,0.0,8.693023677056268e-17,2.017360354214889e-17,True,8.693023677056268e-17,far,mid
38,-1.0343270945944587,0.42793714091085067,1.1891898372419663,0.0,optimal,0.5000001069116355,534.0004116315461,-8.331151782448032e-06,16,vel_upper,-1.071748525482974e-07,10,u_upper,5,11,"[[-1.0343270945047054, 0.42793714196863175], [-0.9890333796835311, 0.47793715370856404], [-0.9387396636933351, 0.5279371653444861], [-0.8834459465452987, 0.5779371768732873], [-0.8231522282512937, 0.6279371882928428], [-0.7578585088237475, 0.6779371996024848], [-0.6875647882754776, 0.7279372108034577], [-0.6122710666194856, 0.7779372218993772], [-0.5319773438686894, 0.8279372328966792], [-0.4466836200356194, 0.8779372438050727], [-0.3563898951320845, 0.9279372546379869], [-0.26109616912336, 0.9779372663208664], [-0.16219916456607408, 1.0000028261099252], [-0.06219918841749097, 0.9999967014077965], [0.0378003301570041, 0.9999936713444708], [0.13779989846170632, 0.9999976891438364], [0.23780019991213472, 1.0000083311517824], [0.3374990402072172, 0.9939684738215022], [0.4357864824636091, 0.9717803703648837]]","[0.5000001069116355, 0.5000001059648627, 0.5000001049895677, 0.5000001039945281, 0.5000001029928154, 0.5000001020016626, 0.5000001010424467, 0.5000001001406678, 0.5000000993259288, 0.5000000986319117, 0.5000001071748525, 0.22065558825830586, -6.12850845047031e-05, -3.03061836915624e-05, 4.023533216036243e-05, 0.00010650059981378195, -0.06039857544659718, -0.22188103570805554]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,21.02015268093293,7.240576710675162e-19,True,21.02015268093293,near,near
39,0.7022814590429975,-0.0814883522698755,0.5856206672312387,0.0,optimal,-0.18760914803662354,0.7613800376521827,0.8859698331807462,3,vel_lower,0.31239085196337646,0,u_lower,0,0,"[[0.7022810398298236, -0.08148852258358327], [0.6931937348034942, -0.10024956652276211], [0.6826482651310231, -0.11065223905111193], [0.6714137947141949, -0.11403016681925383], [0.6601017433148124, -0.11220455345633869], [0.6491543124893329, -0.10673851428931425], [0.6388718540363858, -0.09890589115238166], [0.6294402918504037, -0.0897213690196799], [0.620955295038077, -0.07997533356237621], [0.6134430256040079, -0.07026752158225073], [0.6068776473601645, -0.06103814544064257], [0.6011958802786685, -0.05259585909425692], [0.5963089333333271, -0.04514222163233916], [0.5921121733742262, -0.038792512461968486], [0.5884928950397739, -0.033592894808819204], [0.585336552969971, -0.029534005690681195], [0.5825318186787944, -0.026560872334293006], [0.5799749797090163, -0.024576149764427423], [0.5775762531661166, -0.023398595379945153]]","[-0.18760914803662354, -0.10402579701183724, -0.03377866173370475, 0.0182564876004433, 0.054660532108771406, 0.07832620372609739, 0.09184506728352379, 0.09746011152677547, 0.097077820569055, 0.09229343411342422, 0.08442253152155747, 0.07453605690251164, 0.06349680270303087, 0.05199592659763397, 0.040588686783370215, 0.02973117755098606, 0.019847117552728433, 0.01177547990972476]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,1.2466594337581501e-19,3.926981277071609e-21,False,1.2466594337581501e-19,far,far
40,0.2691135005207539,0.179815921865784,-1.91155612275651,0.0,optimal,-0.49999996660618157,849.4147621437241,0.31919120447123217,18,vel_lower,-2.9157725345285712e-08,16,u_lower,0,17,"[[0.26911350065580664, 0.17981592223393195], [0.2845950931811615, 0.12981592592795577], [0.2950766860693417, 0.07981592947818222], [0.30055827930854995, 0.029815932936540827], [0.30103987289226464, -0.02018406364279174], [0.2965214668180651, -0.07018406023278029], [0.28700306108480733, -0.12018405683365158], [0.27248465569030184, -0.1701840534655812], [0.2529662506296817, -0.22018405016000236], [0.22844784589469264, -0.2701840469518832], [0.19892944147360536, -0.32018404387410826], [0.16441103735157167, -0.37018404095426555], [0.12489263351122225, -0.4201840382135479], [0.08037422993331018, -0.4701840356670338], [0.03085582659727218, -0.5201840333244567], [-0.02366257651823267, -0.5701840311903938], [-0.08318097943453964, -0.6201840292587137], [-0.147699382397677, -0.6701840320284802], [-0.2152490236800982, -0.6808087955287678]]","[-0.49999996660618157, -0.49999996791504475, -0.4999999687102983, -0.4999999689685649, -0.499999968959345, -0.49999996895293897, -0.4999999691465564, -0.4999999696509792, -0.49999997050039785, -0.4999999716734814, -0.4999999731174551, -0.4999999747690272, -0.49999997656816986, -0.499999978462815, -0.4999999804030032, -0.4999999822834017, -0.5000000291577253, -0.10624763632796606]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false]]",2.7929445698662062e-18,5.23161084032947e-17,6.804817684889425e-20,1.046322168065894e-16,True,1.046322168065894e-16,far,mid
41,-0.26941631305404923,-0.550062991365729,-0.02764223147521294,0.0,optimal,0.4999999741247935,47.05896944628373,0.4999370055461587,1,vel_lower,-1.6423005178012318e-09,13,u_upper,0,15,"[[-0.2694163132956776, -0.5500629916281072], [-0.3219226128292012, -0.5000629944538413], [-0.3694289126301899, -0.45006299696761914], [-0.41193521266637034, -0.40006299916395], [-0.4494415129070048, -0.3500630010850392], [-0.48194781332508463, -0.300063002769169], [-0.5094541138957289, -0.25006300422520633], [-0.5319604145937957, -0.20006300544335504], [-0.5494667153931012, -0.15006300641628167], [-0.5619730162671268, -0.10006300714807745], [-0.5694793171901176, -0.050063007652521176], [-0.5719856181378458, -6.300794857644934e-05], [-0.5694919190881179, 0.049936991940416786], [-0.5619982200211393, 0.09993699198904374], [-0.5495045209195284, 0.14993699217376436], [-0.5320108217894033, 0.1999369920482064], [-0.5100097065400536, 0.2400853139953843], [-0.485203455345726, 0.25603971040681506], [-0.4595997876603749, 0.2560336434511414]]","[0.4999999741247935, 0.4999999770018879, 0.49999997993459, 0.49999998244803323, 0.4999999845830327, 0.4999999866348818, 0.4999999887915072, 0.499999991030063, 0.4999999932385601, 0.4999999953226386, 0.49999999723306815, 0.4999999989286937, 0.5000000003913501, 0.5000000016423005, 0.49999999845571463, 0.4014832191278115, 0.15954396377547525, -6.066983666490363e-05]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false]]",1.3635552350938197e-16,2.615805420164735e-17,3.408888087734549e-17,1.205732206192395e-18,True,1.3635552350938197e-16,far,far
42,-0.544444120535087,-0.4265709733607437,-1.8243463484762623,0.0,optimal,-0.5000000152507074,129.32726537722033,0.11549593004274039,10,vel_lower,-1.4460575226138417e-07,5,u_lower,0,9,"[[-0.544444121757496, -0.4265709734617078], [-0.5896012192356388, -0.47657097532532455], [-0.6397583171962918, -0.5265709722773844], [-0.6949154147697993, -0.5765709669711708], [-0.7550725120171213, -0.6265709666738715], [-0.8202296096493684, -0.6765709756172924], [-0.8903867084049405, -0.7265709900756079], [-0.9655438079543928, -0.7765709928880712], [-1.0457009070242897, -0.8265709825681375], [-1.1307573732562992, -0.8745583388640401], [-1.2187104937144513, -0.8845040699572596], [-1.3061994551723974, -0.8652751610190473], [-1.3908326521864969, -0.827388782018986], [-1.4711847061308982, -0.7796522994337852], [-1.5466499355336785, -0.7296522905144225], [-1.6171969701434639, -0.6812884025376018], [-1.683216761645903, -0.6391074264968728], [-1.7454594361381421, -0.6057460625440705], [-1.804842133794926, -0.5819078884199707]]","[-0.5000000152507074, -0.4999999683375298, -0.4999999461600744, -0.4999999963848388, -0.5000000890331388, -0.5000001446057523, -0.5000000287513525, -0.4999998979419656, -0.4798735642428047, -0.09945731202964012, 0.1922890887155349, 0.3788637898079222, 0.4773648260142556, 0.5000000895727816, 0.4836388804654205, 0.421809761273282, 0.33361364041867403, 0.23838174207583435]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false], [false, false], [true, false], [false, false], [false, false], [false, false], [false, false]]",1.3964722849331031e-18,8.881784197001252e-16,8.522220219336373e-18,3.630041335403295e-19,True,8.881784197001252e-16,mid,near
43,0.28046263096867863,-0.39528843775573663,1.9555525445332673,0.0,optimal,0.5000003725999133,613.9010049545229,0.5291675496810017,18,vel_upper,-3.725999132564439e-07,0,u_upper,0,17,"[[0.28046263361117607, -0.39528843396184066], [0.24343379471866222, -0.3452883931722822], [0.21140495976455054, -0.29528835535966624], [0.18437612844554616, -0.24528832051972785], [0.16234730045636903, -0.19528828864759884], [0.1453184754905806, -0.14528825972649972], [0.13328965324204906, -0.09528823372533621], [0.12626083340673977, -0.045288210596747126], [0.12423201568449642, 0.00471180972396915], [0.12720319978110659, 0.05471182731958971], [0.1351743854103244, 0.10471184229312738], [0.148145572296192, 0.15471185476950966], [0.16611676017541338, 0.20471186489548793], [0.18908794879970392, 0.2547118728400911], [0.21705913793847995, 0.30471187880013856], [0.2500303273819642, 0.35471188300434275], [0.2880015169442012, 0.40471188570624883], [0.3309727064891382, 0.45471188765460274], [0.3772499239915431, 0.47083245031899834]]","[0.5000003725999133, 0.5000003454814071, 0.5000003184075159, 0.5000002913750757, 0.5000002644916985, 0.5000002378871035, 0.5000002117088039, 0.5000001861134831, 0.5000001612638043, 0.5000001373429206, 0.5000001145497343, 0.5000000930814438, 0.500000073139155, 0.500000054978554, 0.5000000388960976, 0.5000000251176062, 0.5000000185727682, 0.16120562644787492]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",1.3635552350938197e-16,5.9188662313069e-17,1.1102230246251565e-16,1.6653345369377348e-16,True,1.6653345369377348e-16,far,far
44,0.25939564704126394,-0.1837562345581955,0.418211260814517,0.0,optimal,0.5000000345426265,4.58902473237312,0.8251778300726995,10,vel_upper,-3.454262653690421e-08,0,u_upper,0,5,"[[0.25939564204578247, -0.18375623714048017], [0.24352001417962144, -0.13375623623157176], [0.23264438526291, -0.08375625258179042], [0.22676875465326457, -0.03375626976522317], [0.22589312206546233, 0.01624370636506653], [0.23001748618253184, 0.06624366207357091], [0.2391060406355473, 0.11552751002396876], [0.25229640819383053, 0.1482799194920969], [0.2680547657756358, 0.16688730302883775], [0.28513617640489175, 0.17474096948534026], [0.30261433108954217, 0.17482216992730043], [0.31983658199440035, 0.1696228775990476], [0.33637690196931314, 0.16118353435046712], [0.35199317652569895, 0.15114195358005802], [0.36658936773845807, 0.14078185507736923], [0.3801823741677068, 0.13107825001194506], [0.3928730878015712, 0.12273599601284492], [0.4048204247480668, 0.1162107175489514], [0.4162107166755161, 0.11159510240580305]]","[0.5000000345426265, 0.4999998557121391, 0.49999984366014244, 0.4999997733445853, 0.4999995654026923, 0.49283848354357346, 0.32752409437218344, 0.18607383108712222, 0.0785366568073042, 0.0008119940245521518, -0.05199293522358738, -0.08439344481290562, -0.10041581928953489, -0.10360099488561125, -0.09703605828072406, -0.08342254534843409, -0.06525278798461456, -0.04615615323288069]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",8.522220219336373e-18,6.817776175469099e-17,1.4520165341611578e-18,3.7166039093576913e-19,True,6.817776175469099e-17,far,far
