magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,delta_u0,888,3024,1.0503357634340106e-09,3.6396224437074135e-10,1.962851574730023e-09,0.013908416971056018,0.01251430527379854,0.015361532897600902,4.929390229335695e-13,4.630740235711528e-13,1471177.5,7.0094701126466965e-06,0.09572183790933786
0.015,group_fixed,delta_u0,885,3024,0.0014342045779993438,0.000507329904500843,0.0026028792396317535,0.041278231661926484,0.0374346401217944,0.04528191965545684,1.450284337067842e-12,1.4661605263199817e-12,1361142.5,0.2177955413690016,0.017205108659910984
0.03,group_fixed,delta_u0,878,3007,0.006920368606520159,0.0029847697211688156,0.011737872584793899,0.08152269458237327,0.0742259292610016,0.08890484580108828,2.7414182035556678e-12,2.9831692671677956e-12,1228117.0,0.9991694969765532,-0.06965978396649275
0.005,group_quantile,delta_u0,1440,1440,0.0007394424577821586,0.00029152873631555957,0.0012543099246777423,0.020876109278541027,0.018576023634764828,0.02336965864700708,4.375388940047742e-13,4.887201754399939e-13,986492.0,0.9879277794330242,-0.0485223765432099
0.015,group_quantile,delta_u0,1429,1440,0.0030438683145602836,0.0016598178632022144,0.00469212556458918,0.05944242267569422,0.053124576780049046,0.06607365774023377,1.3572476476042539e-12,1.4915846335838978e-12,933784.0,0.9999909334044669,-0.09242671642951561
0.03,group_quantile,delta_u0,1410,1439,0.008471793104773364,0.004840867728126184,0.012576230493449924,0.11017285867030603,0.09854740443148263,0.12199914501659821,2.8415048092256256e-12,3.036459972349803e-12,863867.5,0.9999999999965998,-0.14847534980458255
