magnitude,group_col,outcome,n_near,n_far,mean_near,mean_far,median_near,median_far,mwu_stat,mwu_p,cliffs_delta,mean_near_ci_low,mean_near_ci_high,mean_far_ci_low,mean_far_ci_high
0.005,group_fixed,delta_u0,0,360,,,,,,,,,,,
0.015,group_fixed,delta_u0,0,360,,,,,,,,,,,
0.03,group_fixed,delta_u0,0,360,,,,,,,,,,,
0.005,group_quantile,delta_u0,8,264,0.1133031252889202,0.10947627831024506,0.1268537516675727,0.11389985608579513,1137.0,0.3592045755496376,0.07670454545454541,0.08440866792609833,0.1396587245611397,0.10451415935330594,0.11436858182174513
0.015,group_quantile,delta_u0,8,264,0.28947008784025835,0.2812785487354073,0.2608879471870067,0.29532726801844744,1089.0,0.44216575989771245,0.03125,0.19788879906655216,0.38105334359821663,0.2656478518552179,0.2960872886850014
0.03,group_quantile,delta_u0,8,264,0.49685438196309667,0.43578258297349803,0.48741751696177693,0.32081394164043425,1117.0,0.3932322221009443,0.0577651515151516,0.28790550670279247,0.7058032589383729,0.4060841266462723,0.46472757129749853
