group_fixed,count,mean,median,std,min,max
far,30,0.5200040299996256,0.49326566262205984,0.1596238397376131,0.30527273294878743,0.8859698331807462
mid,10,0.18917271914049838,0.20892801715295822,0.07925965813116316,0.08285225049123579,0.2971030476614327
near,10,0.0068781630648749315,-9.661097019275644e-06,0.01753588033085287,-2.7195602785523576e-05,0.05527525921048182
