scenario_id,bias_direction,bias_dir_p,bias_dir_v,bias_magnitude,perturbed_status,perturbed_feasible,perturbed_u0,delta_u0,perturbed_objective,objective_diff,active_set_changed,n_active_state_changed,perturbed_min_state_margin,true_replay_min_margin,true_replay_max_violation,true_replay_violated,true_replay_objective,true_vs_perturbed_objective_gap,perturbed_max_state_dual_norm,init_pos,init_vel,ref_pos,ref_vel,oracle_status,oracle_u0,oracle_objective,oracle_min_state_margin,oracle_min_state_margin_step,oracle_min_state_margin_kind,oracle_min_input_margin,oracle_min_input_margin_step,oracle_min_input_margin_kind,oracle_n_active_state,oracle_n_active_input,oracle_pos_upper_dual_norm_max,oracle_pos_lower_dual_norm_max,oracle_vel_upper_dual_norm_max,oracle_vel_lower_dual_norm_max,oracle_u0_saturated,oracle_max_state_dual_norm,group_fixed,group_quantile
0,pos_plus,1.0,0.0,0.005,optimal,True,0.4999935292921424,6.470709748407355e-06,67.04616218196608,-7.536452302734716,False,0.0,0.4614290919069035,0.47274471316243094,0.0,False,74.69743654606435,7.6512743640982706,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,pos_plus,1.0,0.0,0.015,optimal,True,0.4999999952774148,4.7244760326137225e-09,54.79250435530056,-19.79011012940024,False,0.0,0.36666338248402885,0.565452986129968,0.0,False,76.10349753730486,21.310993182004303,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,pos_plus,1.0,0.0,0.03,optimal,True,0.49999998515182265,1.4850068175142894e-08,42.11054545890058,-32.47206902580022,False,0.0,0.27798805396159243,0.6991425544551779,0.0,False,83.78985578220656,41.67931032330598,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,pos_minus,-1.0,0.0,0.005,optimal,True,0.500006910365167,6.910363276158016e-06,83.16424246431023,8.581627979609436,False,0.0,0.3915158623676679,0.3915164016808007,0.0,False,74.64799033937267,-8.516252124937566,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,pos_minus,-1.0,0.0,0.015,optimal,True,0.5000119217376868,1.1921735796005528e-05,103.67803455607792,29.09542007137712,False,0.0,0.3348032090864925,0.33480416904353294,0.0,False,74.9155289415031,-28.76250561457482,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,pos_minus,-1.0,0.0,0.03,optimal,True,0.5000015837470276,1.5837451368128086e-06,143.2400022244236,68.6573877397228,False,0.0,0.2840043746082218,0.28400450473659555,0.0,False,75.2480243728739,-67.99197785154969,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,vel_plus,0.0,1.0,0.005,optimal,True,0.499999313554424,6.864474668133447e-07,71.74753734418094,-2.835077140519857,False,0.0,0.40774281275245183,0.4727427645911384,0.0,False,74.71868450268828,2.9711471585073355,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,vel_plus,0.0,1.0,0.015,optimal,True,0.499999912658867,8.734302381352421e-08,67.28723753956625,-7.295376945134549,False,0.0,0.37471186300715287,0.5513051470187939,0.0,False,76.11926216046272,8.832024620896476,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,vel_plus,0.0,1.0,0.03,optimal,True,0.5000000245783068,2.457641601338878e-08,62.83088694987035,-11.75172753483045,False,0.0,0.34931521804695276,0.6469140573460509,0.0,False,82.44961345633011,19.618726506459765,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
0,vel_minus,0.0,-1.0,0.005,optimal,True,0.5000053156903302,5.315688439422317e-06,77.90787973703236,3.325265252331562,False,0.0,0.46132444558184926,0.386324860440059,0.0,False,74.67025175947603,-3.237627977556329,0.0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,0.0,0.0,0.0,0.0,True,0.0,far,mid
