magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,delta_u0,80,240,1.968926856197456e-06,1.429213251909773e-06,2.600762708943725e-06,0.019211490477371283,0.013447375267120516,0.025335146800727862,1.1420891586344517e-06,2.7064628483064457e-06,7414.0,0.9988594574753965,-0.2277083333333333
0.015,group_fixed,delta_u0,80,240,2.1282400761428457e-06,1.491076466018787e-06,2.8820630798495443e-06,0.051606565057376076,0.03684075439251321,0.06751057856907774,9.747648277991239e-07,2.7197265193290576e-06,7645.0,0.9968201393124118,-0.2036458333333333
0.03,group_fixed,delta_u0,80,239,2.307633228991468e-06,1.6833081237931612e-06,3.072860614944279e-06,0.08330521647322284,0.060881617321439846,0.10653075135847123,1.2527476788981584e-06,3.409621849248534e-06,6805.0,0.9999430684983945,-0.28817991631799167
0.005,group_quantile,delta_u0,120,120,2.0916204572327126e-06,1.5283113185302297e-06,2.7539167557099944e-06,0.038419501446491304,0.028350242783899235,0.04917111424961032,9.496706852019088e-07,7.932662953485936e-06,4007.0,0.9999999985607139,-0.44347222222222227
0.015,group_quantile,delta_u0,120,120,2.005233283790727e-06,1.4198132648745217e-06,2.7129080732895636e-06,0.10320884044930896,0.07643740237508388,0.13136482528359808,7.234511030240753e-07,4.52899271632945e-06,4637.0,0.9999990644945215,-0.35597222222222225
0.03,group_quantile,delta_u0,120,120,2.376452172769365e-06,1.7293021398163851e-06,3.1630238890892453e-06,0.15703129213175063,0.11834628177427775,0.1981287495081343,9.92968735347155e-07,8.110523024990046e-06,3681.0,0.9999999999701688,-0.48875
