group_quantile,count,mean,median,std,min,max
far,15,0.6387138591399377,0.5686244102582987,0.13657682826769624,0.49754252464537774,0.8859698331807462
mid,20,0.36519666942966994,0.364409975677575,0.08488953467989901,0.2307332428210478,0.48898880059874195
near,15,0.04506589642333558,-8.02540081235037e-06,0.06178939782916586,-2.7195602785523576e-05,0.18712279148486866
