trajectory_id,p_t,v_t,u_t,p_next,v_next,margin
0,-0.1666769905434342,-0.7385693915175979,0.3753057054212088,-0.23622441688822354,-0.6954742634478932,1.8333230094565658
0,-0.23622441688822354,-0.6954742634478932,0.41827153024275204,-0.30122765583615135,-0.6500323894792781,1.7637755831117765
0,-0.30122765583615135,-0.6500323894792781,0.46610900055332183,-0.3613893253979193,-0.6016166956176793,1.6987723441638487
0,-0.3613893253979193,-0.6016166956176793,0.36853931284537156,-0.41785186476204533,-0.5646253936412603,1.6386106746020808
0,-0.41785186476204533,-0.5646253936412603,0.38651975014647083,-0.47056441879653516,-0.5271255403448981,1.5821481352379547
0,-0.47056441879653516,-0.5271255403448981,0.29372854657757297,-0.5205694740508299,-0.5000505525429471,1.5294355812034648
0,-0.5205694740508299,-0.5000505525429471,0.1374353461156183,-0.5695154841924112,-0.4894601014158129,1.4794305259491702
0,-0.5695154841924112,-0.4894601014158129,0.46386329256787817,-0.614190087347828,-0.4467460315541678,1.430484515807589
0,-0.614190087347828,-0.4467460315541678,0.3886225273764168,-0.6554326491315954,-0.4124256178376738,1.3858099126521721
0,-0.6554326491315954,-0.4124256178376738,-0.0008029848731247458,-0.6972012245943681,-0.41768575462772684,1.3445673508684046
0,-0.6972012245943681,-0.41768575462772684,-0.22550420874701094,-0.7417507363777341,-0.44549511783366075,1.3027987754056318
0,-0.7417507363777341,-0.44549511783366075,-0.0586355242455025,-0.7873858583321054,-0.4563512195437124,1.258249263622266
0,-0.7873858583321054,-0.4563512195437124,-0.11292422561016294,-0.8346378315677282,-0.47251973235622796,1.2126141416678946
0,-0.8346378315677282,-0.47251973235622796,-0.09939477467899811,-0.8833449640662105,-0.4870713249848232,1.1653621684322717
0,-0.8833449640662105,-0.4870713249848232,0.03772078478133255,-0.9321037303057204,-0.4875876623950977,1.1166550359337895
0,-0.9321037303057204,-0.4875876623950977,-0.35688762526122997,-0.9848405705099598,-0.5273684020423938,1.0678962696942795
0,-0.9848405705099598,-0.5273684020423938,-0.00408027283779161,-1.0379382330513478,-0.5309766254138814,1.0151594294900401
0,-1.0379382330513478,-0.5309766254138814,-0.1316909251513724,-1.092630009138844,-0.5469177608749602,0.9620617669486522
0,-1.092630009138844,-0.5469177608749602,-0.023907035625140252,-1.1477658432326048,-0.5513583409376078,0.9073699908611561
0,-1.1477658432326048,-0.5513583409376078,0.16886011544124668,-1.2013560220522796,-0.5359017881967483,0.8522341567673952
1,-0.29804804258360873,-0.7930396277302052,-0.20857797056829708,-0.3789435501967101,-0.8089550761310139,1.7019519574163913
1,-0.3789435501967101,-0.8089550761310139,-0.2582596959259662,-0.4619899530184638,-0.830464028217537,1.62105644980329
1,-0.4619899530184638,-0.830464028217537,-0.16059601027594006,-0.5462462153256934,-0.8425626230722959,1.5380100469815363
1,-0.5462462153256934,-0.8425626230722959,-0.14100740200766998,-0.6315579054899061,-0.8531169016421268,1.4537537846743067
1,-0.6315579054899061,-0.8531169016421268,-0.21904827854725514,-0.7187307966367138,-0.8717289114680766,1.368442094510094
1,-0.7187307966367138,-0.8717289114680766,-0.2098559407442017,-0.8076552795170449,-0.88924482880331,1.2812692033632862
1,-0.8076552795170449,-0.88924482880331,-0.06238789630779157,-0.8968167143362465,-0.891614348192017,1.1923447204829551
1,-0.8968167143362465,-0.891614348192017,-0.06854616323189823,-0.9862513660752499,-0.8943465173900339,1.1031832856637536
1,-0.9862513660752499,-0.8943465173900339,-0.009030236152759066,-1.0753128527542688,-0.8906148667901885,1.0137486339247501
1,-1.0753128527542688,-0.8906148667901885,-0.23091351305635832,-1.1661629272162604,-0.9085007446199159,0.9246871472457312
1,-1.1661629272162604,-0.9085007446199159,-0.20237063017915796,-1.2583776727267018,-0.9221474551044151,0.8338370727837396
1,-1.2583776727267018,-0.9221474551044151,-0.29523351523220565,-1.3527371917585091,-0.943595190318074,0.7416223272732982
1,-1.3527371917585091,-0.943595190318074,-0.15869707456493315,-1.4476860631218114,-0.9494887136330225,0.6472628082414909
1,-1.4476860631218114,-0.9494887136330225,-0.1010565394741286,-1.5424881988322503,-0.9480213571043902,0.5523139368781886
1,-1.5424881988322503,-0.9480213571043902,0.016007706179423917,-1.6358274095521879,-0.9333921071993752,0.4575118011677497
1,-1.6358274095521879,-0.9333921071993752,0.08387156071484689,-1.726917316799644,-0.9108990724745629,0.36417259044781214
1,-1.726917316799644,-0.9108990724745629,0.05691693767931122,-1.8159476946053177,-0.8903037780567351,0.2730826832003559
1,-1.8159476946053177,-0.8903037780567351,0.1000103623272374,-1.9024122931777363,-0.8646459857241867,0.18405230539468231
1,-1.9024122931777363,-0.8646459857241867,0.06749195335825921,-1.9865880197178796,-0.8417572654014319,0.0975877068222637
1,-1.9865880197178796,-0.8417572654014319,0.11400580714073391,-2.0,0.0,0.013411980282120428
2,1.5952615192164679,-0.9100553985000666,0.28772428065995737,1.508336394725595,-0.8692512449087276,0.40473848078353214
2,1.508336394725595,-0.8692512449087276,0.47133398701859497,1.4273576828729675,-0.8097871185262755,0.491663605274405
2,1.4273576828729675,-0.8097871185262755,0.5,1.352588970599107,-0.7476871227386043,0.5726423171270325
2,1.352588970599107,-0.7476871227386043,0.5,1.2839969667271243,-0.685920038719828,0.647411029400893
2,1.2839969667271243,-0.685920038719828,0.5,1.2215448189555054,-0.6245214777161885,0.7160030332728757
2,1.2215448189555054,-0.6245214777161885,0.3790807215665427,1.1639829766210006,-0.5756184233450485,0.7784551810444946
2,1.1639829766210006,-0.5756184233450485,0.442063092027059,1.1119201964685812,-0.5206278015241949,0.8360170233789994
2,1.1119201964685812,-0.5206278015241949,0.41928493093660213,1.0650922358955544,-0.4682796057302678,0.8880798035314188
2,1.0650922358955544,-0.4682796057302678,0.36115136660126074,1.022882781641322,-0.42209454254232387,0.9349077641044456
2,1.022882781641322,-0.42209454254232387,0.45694758688219206,0.986221494392609,-0.3666128724871302,0.977117218358678
2,0.986221494392609,-0.3666128724871302,0.39271174267440023,0.954425266872197,-0.31796227520412024,1.013778505607391
2,0.954425266872197,-0.31796227520412024,0.4307281628753938,0.9278426924150576,-0.26582574457139374,1.0455747331278031
2,0.9278426924150576,-0.26582574457139374,0.2552217260561342,0.9046860844793242,-0.23156607935733364,1.0721573075849424
2,0.9046860844793242,-0.23156607935733364,-0.021192755858159107,0.8821753236712724,-0.22510760808051855,1.0953139155206757
2,0.8821753236712724,-0.22510760808051855,0.0928814242266387,0.8614544486731592,-0.20720874998113173,1.1178246763287276
