magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,delta_u0,888,3024,2.2882329470207842e-06,2.033626357096022e-06,2.5635559825070764e-06,0.01391167471523839,0.012517672415962532,0.015364747814121449,1.0497924345098664e-06,2.3465248680243356e-06,1019888.0,1.0,-0.24039515706182368
0.015,group_fixed,delta_u0,885,3024,0.001435534338586788,0.0005087925684202638,0.0026048526860664415,0.04128148939231365,0.03743788473475791,0.04528510016863217,1.0443559659290003e-06,2.477575866965953e-06,1021916.0,1.0,-0.23630466624816904
0.03,group_fixed,delta_u0,878,3007,0.006921217634613612,0.002986017378815285,0.011737636218387257,0.08152597746635949,0.0742293233412362,0.08890810309494003,1.1129337720294785e-06,2.956450612101591e-06,938799.0,1.0,-0.288827966332165
0.005,group_quantile,delta_u0,1440,1440,0.0007425148725421483,0.0002945919754688995,0.0012570297662395503,0.020879184926102235,0.01857897020088853,0.023372757088225032,1.251730413348584e-06,3.274411500886476e-06,800870.0,1.0,-0.2275559413580247
0.015,group_quantile,delta_u0,1429,1440,0.0030462871848029685,0.0016628277063941452,0.004695121122123798,0.059445340987624405,0.053127554142087675,0.06607670801851807,1.155974523991965e-06,3.0897792935857815e-06,785988.0,1.0,-0.23607417774667605
0.03,group_quantile,delta_u0,1410,1439,0.008473878670816785,0.004843170892830915,0.012578377012009421,0.11017604242823474,0.09855086986763328,0.1220022548720723,1.2305904349418917e-06,4.259335358858252e-06,684397.0,1.0,-0.32538159379789944
